Age;Gender;Education;Conjunction;RefDevice;ClOrder;Choice
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;np
20;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
21;Мужчина;Студент/Неоконченное высшее;когда;pr;sm;pr
21;Мужчина;Студент/Неоконченное высшее;если;np;ms;null
21;Мужчина;Студент/Неоконченное высшее;хотя;pr;sm;np
21;Мужчина;Студент/Неоконченное высшее;из-за того что;np;ms;pr
21;Мужчина;Студент/Неоконченное высшее;когда;pr;ms;null
21;Мужчина;Студент/Неоконченное высшее;хотя;pr;ms;pr
21;Мужчина;Студент/Неоконченное высшее;когда;np;ms;null
21;Мужчина;Студент/Неоконченное высшее;если;pr;sm;pr
21;Мужчина;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
21;Мужчина;Студент/Неоконченное высшее;хотя;np;ms;null
21;Мужчина;Студент/Неоконченное высшее;если;pr;ms;null
21;Мужчина;Студент/Неоконченное высшее;из-за того что;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;np
21;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
23;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;null
23;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
23;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;np
23;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;pr
23;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
23;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
23;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
23;Женщина.;Студент/Неоконченное высшее;если;pr;sm;null
23;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;null
23;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;pr
23;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
23;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;np;ms;pr
21;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;pr
21;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;null/pr
21;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr?
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;np/pr
21;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
31;Женщина.;Высшее (одно и больше);когда;pr;sm;pr
31;Женщина.;Высшее (одно и больше);если;np;ms;null
31;Женщина.;Высшее (одно и больше);хотя;pr;sm;pr
31;Женщина.;Высшее (одно и больше);из-за того что;np;ms;null
31;Женщина.;Высшее (одно и больше);когда;pr;ms;null
31;Женщина.;Высшее (одно и больше);хотя;pr;ms;null
31;Женщина.;Высшее (одно и больше);когда;np;ms;null
31;Женщина.;Высшее (одно и больше);если;pr;sm;null
31;Женщина.;Высшее (одно и больше);из-за того что;pr;sm;pr
31;Женщина.;Высшее (одно и больше);хотя;np;ms;null
31;Женщина.;Высшее (одно и больше);если;pr;ms;null
31;Женщина.;Высшее (одно и больше);из-за того что;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;np
21;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
20;Женщина.;Среднее профессиональное;когда;pr;sm;np
20;Женщина.;Среднее профессиональное;если;np;ms;null
20;Женщина.;Среднее профессиональное;хотя;pr;sm;np
20;Женщина.;Среднее профессиональное;из-за того что;np;ms;pr
20;Женщина.;Среднее профессиональное;когда;pr;ms;null
20;Женщина.;Среднее профессиональное;хотя;pr;ms;null
20;Женщина.;Среднее профессиональное;когда;np;ms;null
20;Женщина.;Среднее профессиональное;если;pr;sm;pr
20;Женщина.;Среднее профессиональное;из-за того что;pr;sm;pr
20;Женщина.;Среднее профессиональное;хотя;np;ms;null
20;Женщина.;Среднее профессиональное;если;pr;ms;null
20;Женщина.;Среднее профессиональное;из-за того что;pr;ms;null
20;Женщина.;Среднее профессиональное;когда;pr;sm;pr?
20;Женщина.;Среднее профессиональное;если;np;ms;null
20;Женщина.;Среднее профессиональное;хотя;pr;sm;pr?
20;Женщина.;Среднее профессиональное;из-за того что;np;ms;null
20;Женщина.;Среднее профессиональное;когда;pr;ms;null
20;Женщина.;Среднее профессиональное;хотя;pr;ms;null
20;Женщина.;Среднее профессиональное;когда;np;ms;null
20;Женщина.;Среднее профессиональное;если;pr;sm;np
20;Женщина.;Среднее профессиональное;из-за того что;pr;sm;pr
20;Женщина.;Среднее профессиональное;хотя;np;ms;pr
20;Женщина.;Среднее профессиональное;если;pr;ms;null
20;Женщина.;Среднее профессиональное;из-за того что;pr;ms;null
24;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;np
24;Женщина.;Студент/Неоконченное высшее;если;np;ms;pr
24;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;np
24;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;pr
24;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
24;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
24;Женщина.;Студент/Неоконченное высшее;когда;np;ms;pr
24;Женщина.;Студент/Неоконченное высшее;если;pr;sm;np
24;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;other
24;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;pr
24;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
24;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;np
20;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
22;Женщина.;Среднее общее;когда;pr;sm;null
22;Женщина.;Среднее общее;если;np;ms;null
22;Женщина.;Среднее общее;хотя;pr;sm;null
22;Женщина.;Среднее общее;из-за того что;np;ms;pr
22;Женщина.;Среднее общее;когда;pr;ms;null
22;Женщина.;Среднее общее;хотя;pr;ms;null
22;Женщина.;Среднее общее;когда;np;ms;pr
22;Женщина.;Среднее общее;если;pr;sm;null
22;Женщина.;Среднее общее;из-за того что;pr;sm;null
22;Женщина.;Среднее общее;хотя;np;ms;null
22;Женщина.;Среднее общее;если;pr;ms;null
22;Женщина.;Среднее общее;из-за того что;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
23;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
23;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
23;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;np
23;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
23;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
23;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
23;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
23;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr
23;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
23;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
23;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
23;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
24;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr?
24;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
24;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr/np
24;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null/pr
24;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
24;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
24;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null/pr
24;Женщина.;Студент/Неоконченное высшее;если;pr;sm;null?
24;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;np?
24;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null/pr
24;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
24;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
22;Женщина.;Высшее (одно и больше);когда;pr;sm;np
22;Женщина.;Высшее (одно и больше);если;np;ms;pr
22;Женщина.;Высшее (одно и больше);хотя;pr;sm;np
22;Женщина.;Высшее (одно и больше);из-за того что;np;ms;null
22;Женщина.;Высшее (одно и больше);когда;pr;ms;null
22;Женщина.;Высшее (одно и больше);хотя;pr;ms;null
22;Женщина.;Высшее (одно и больше);когда;np;ms;null
22;Женщина.;Высшее (одно и больше);если;pr;sm;pr
22;Женщина.;Высшее (одно и больше);из-за того что;pr;sm;pr
22;Женщина.;Высшее (одно и больше);хотя;np;ms;pr
22;Женщина.;Высшее (одно и больше);если;pr;ms;null
22;Женщина.;Высшее (одно и больше);из-за того что;pr;ms;null
22;Женщина.;Высшее (одно и больше);когда;pr;sm;null
22;Женщина.;Высшее (одно и больше);если;np;ms;pr
22;Женщина.;Высшее (одно и больше);хотя;pr;sm;pr
22;Женщина.;Высшее (одно и больше);из-за того что;np;ms;pr
22;Женщина.;Высшее (одно и больше);когда;pr;ms;null
22;Женщина.;Высшее (одно и больше);хотя;pr;ms;null
22;Женщина.;Высшее (одно и больше);когда;np;ms;pr
22;Женщина.;Высшее (одно и больше);если;pr;sm;null
22;Женщина.;Высшее (одно и больше);из-за того что;pr;sm;null
22;Женщина.;Высшее (одно и больше);хотя;np;ms;pr
22;Женщина.;Высшее (одно и больше);если;pr;ms;null
22;Женщина.;Высшее (одно и больше);из-за того что;pr;ms;pr
24;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;null
24;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
24;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr/np
24;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
24;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
24;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
24;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
24;Женщина.;Студент/Неоконченное высшее;если;pr;sm;null
24;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
24;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
24;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
24;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
19;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
19;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
19;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;np
19;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
19;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
19;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
19;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
19;Женщина.;Студент/Неоконченное высшее;если;pr;sm;np
19;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
19;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
19;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
19;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
22;Женщина.;Высшее (одно и больше);когда;pr;sm;pr
22;Женщина.;Высшее (одно и больше);если;np;ms;null
22;Женщина.;Высшее (одно и больше);хотя;pr;sm;pr
22;Женщина.;Высшее (одно и больше);из-за того что;np;ms;null
22;Женщина.;Высшее (одно и больше);когда;pr;ms;null
22;Женщина.;Высшее (одно и больше);хотя;pr;ms;null
22;Женщина.;Высшее (одно и больше);когда;np;ms;null
22;Женщина.;Высшее (одно и больше);если;pr;sm;pr
22;Женщина.;Высшее (одно и больше);из-за того что;pr;sm;pr
22;Женщина.;Высшее (одно и больше);хотя;np;ms;null
22;Женщина.;Высшее (одно и больше);если;pr;ms;null
22;Женщина.;Высшее (одно и больше);из-за того что;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
18;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
18;Женщина.;Студент/Неоконченное высшее;если;np;ms;pr
18;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
18;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;pr
18;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
18;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
18;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
18;Женщина.;Студент/Неоконченное высшее;если;pr;sm;np
18;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
18;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;pr
18;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
18;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
19;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;null
19;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
19;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;np
19;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
19;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
19;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
19;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
19;Женщина.;Студент/Неоконченное высшее;если;pr;sm;null
19;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;null
19;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
19;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
19;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;null
20;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;когда;np;ms;pr
20;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
20;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;pr
20;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
20;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;pr
21;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
21;Женщина.;Студент/Неоконченное высшее;если;np;ms;pr
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;когда;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;null
21;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
21;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;null
22;Мужчина;Высшее (одно и больше);когда;pr;sm;pr
22;Мужчина;Высшее (одно и больше);если;np;ms;null
22;Мужчина;Высшее (одно и больше);хотя;pr;sm;pr
22;Мужчина;Высшее (одно и больше);из-за того что;np;ms;null
22;Мужчина;Высшее (одно и больше);когда;pr;ms;null
22;Мужчина;Высшее (одно и больше);хотя;pr;ms;null
22;Мужчина;Высшее (одно и больше);когда;np;ms;null
22;Мужчина;Высшее (одно и больше);если;pr;sm;pr
22;Мужчина;Высшее (одно и больше);из-за того что;pr;sm;pr
22;Мужчина;Высшее (одно и больше);хотя;np;ms;null
22;Мужчина;Высшее (одно и больше);если;pr;ms;null
22;Мужчина;Высшее (одно и больше);из-за того что;pr;ms;null
22;Мужчина;Студент/Неоконченное высшее;когда;pr;sm;pr
22;Мужчина;Студент/Неоконченное высшее;если;np;ms;null
22;Мужчина;Студент/Неоконченное высшее;хотя;pr;sm;pr
22;Мужчина;Студент/Неоконченное высшее;из-за того что;np;ms;null
22;Мужчина;Студент/Неоконченное высшее;когда;pr;ms;null
22;Мужчина;Студент/Неоконченное высшее;хотя;pr;ms;null
22;Мужчина;Студент/Неоконченное высшее;когда;np;ms;null
22;Мужчина;Студент/Неоконченное высшее;если;pr;sm;pr
22;Мужчина;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
22;Мужчина;Студент/Неоконченное высшее;хотя;np;ms;pr
22;Мужчина;Студент/Неоконченное высшее;если;pr;ms;null
22;Мужчина;Студент/Неоконченное высшее;из-за того что;pr;ms;pr
18;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;pr
18;Женщина.;Студент/Неоконченное высшее;если;np;ms;pr
18;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;pr
18;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;pr
18;Женщина.;Студент/Неоконченное высшее;когда;pr;ms;null
18;Женщина.;Студент/Неоконченное высшее;хотя;pr;ms;pr
18;Женщина.;Студент/Неоконченное высшее;когда;np;ms;pr
18;Женщина.;Студент/Неоконченное высшее;если;pr;sm;pr
18;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;sm;pr
18;Женщина.;Студент/Неоконченное высшее;хотя;np;ms;pr
18;Женщина.;Студент/Неоконченное высшее;если;pr;ms;null
18;Женщина.;Студент/Неоконченное высшее;из-за того что;pr;ms;pr
21;Женщина.;Студент/Неоконченное высшее;когда;pr;sm;np
21;Женщина.;Студент/Неоконченное высшее;если;np;ms;null
21;Женщина.;Студент/Неоконченное высшее;хотя;pr;sm;np
21;Женщина.;Студент/Неоконченное высшее;из-за того что;np;ms;null
